Program,Applicant ID,Category,z-score,Proposal
Bridge,44610688,Impact Likelihood,-0.510397588,"Cost-Effective, Carbon-Negative Acrylonitrile: Leveraging Novel Catalysts to Minimize Feedstock Use"
Bridge,44610688,Translational Impacts,-0.155357427,"Cost-Effective, Carbon-Negative Acrylonitrile: Leveraging Novel Catalysts to Minimize Feedstock Use"
Bridge,44610688,Environmental Impacts,-0.671038298,"Cost-Effective, Carbon-Negative Acrylonitrile: Leveraging Novel Catalysts to Minimize Feedstock Use"
Bridge,44610688,Relevance to NYS,0.758570008,"Cost-Effective, Carbon-Negative Acrylonitrile: Leveraging Novel Catalysts to Minimize Feedstock Use"
Bridge,44421649,Responsiveness,0.998677423,CSA certification of the carbon offset unit within the ReductionTech Inc hydroxyl dispersal system with a technology pilot plant
Bridge,44421649,Appropriateness,0.732311474,CSA certification of the carbon offset unit within the ReductionTech Inc hydroxyl dispersal system with a technology pilot plant
Bridge,44421649,Team Qualifications,0.937547563,CSA certification of the carbon offset unit within the ReductionTech Inc hydroxyl dispersal system with a technology pilot plant
Bridge,44421649,Market Impact,0.72636455,CSA certification of the carbon offset unit within the ReductionTech Inc hydroxyl dispersal system with a technology pilot plant
Bridge,44421649,Impact Likelihood,0.537260619,CSA certification of the carbon offset unit within the ReductionTech Inc hydroxyl dispersal system with a technology pilot plant
Bridge,44421649,Translational Impacts,0.946267964,CSA certification of the carbon offset unit within the ReductionTech Inc hydroxyl dispersal system with a technology pilot plant
Bridge,44421649,Environmental Impacts,0.671038298,CSA certification of the carbon offset unit within the ReductionTech Inc hydroxyl dispersal system with a technology pilot plant
Bridge,44421649,Relevance to NYS,0.758570008,CSA certification of the carbon offset unit within the ReductionTech Inc hydroxyl dispersal system with a technology pilot plant
Bridge,44607738,Responsiveness,-1.16512366,Develop a low-energy process for converting CO2 into minerals to be used as carbon-negative fillers in polymers
Bridge,44607738,Appropriateness,-0.803180326,Develop a low-energy process for converting CO2 into minerals to be used as carbon-negative fillers in polymers
Bridge,44607738,Team Qualifications,-0.562528538,Develop a low-energy process for converting CO2 into minerals to be used as carbon-negative fillers in polymers
Bridge,44607738,Market Impact,0.026902391,Develop a low-energy process for converting CO2 into minerals to be used as carbon-negative fillers in polymers
Bridge,44607738,Impact Likelihood,-0.510397588,Develop a low-energy process for converting CO2 into minerals to be used as carbon-negative fillers in polymers
Bridge,44607738,Translational Impacts,-0.889774354,Develop a low-energy process for converting CO2 into minerals to be used as carbon-negative fillers in polymers
Bridge,44607738,Environmental Impacts,-0.671038298,Develop a low-energy process for converting CO2 into minerals to be used as carbon-negative fillers in polymers
Bridge,44607738,Relevance to NYS,-0.556284673,Develop a low-energy process for converting CO2 into minerals to be used as carbon-negative fillers in polymers
Bridge,44596946,Responsiveness,0.380448542,Electrochemical Single step Air to Carbon products
Bridge,44596946,Appropriateness,0.732311474,Electrochemical Single step Air to Carbon products
Bridge,44596946,Team Qualifications,0.187509513,Electrochemical Single step Air to Carbon products
Bridge,44596946,Market Impact,1.076095629,Electrochemical Single step Air to Carbon products
Bridge,44596946,Impact Likelihood,0.537260619,Electrochemical Single step Air to Carbon products
Bridge,44596946,Translational Impacts,0.946267964,Electrochemical Single step Air to Carbon products
Bridge,44596946,Environmental Impacts,1.006557447,Electrochemical Single step Air to Carbon products
Bridge,44596946,Relevance to NYS,1.087283679,Electrochemical Single step Air to Carbon products
Bridge,44612849,Responsiveness,-0.237780339,Electrochemically Produced CO2-Derived Multiwall Carbon Nanotubes for Next-Generation Composites
Bridge,44612849,Appropriateness,0.118114754,Electrochemically Produced CO2-Derived Multiwall Carbon Nanotubes for Next-Generation Composites
Bridge,44612849,Team Qualifications,-0.562528538,Electrochemically Produced CO2-Derived Multiwall Carbon Nanotubes for Next-Generation Composites
Bridge,44612849,Market Impact,-0.322828689,Electrochemically Produced CO2-Derived Multiwall Carbon Nanotubes for Next-Generation Composites
Bridge,44612849,Impact Likelihood,-0.161178186,Electrochemically Produced CO2-Derived Multiwall Carbon Nanotubes for Next-Generation Composites
Bridge,44612849,Translational Impacts,-0.155357427,Electrochemically Produced CO2-Derived Multiwall Carbon Nanotubes for Next-Generation Composites
Bridge,44612849,Environmental Impacts,-0.335519149,Electrochemically Produced CO2-Derived Multiwall Carbon Nanotubes for Next-Generation Composites
Bridge,44612849,Relevance to NYS,-0.227571003,Electrochemically Produced CO2-Derived Multiwall Carbon Nanotubes for Next-Generation Composites
Bridge,44611111,Responsiveness,-0.546894779,Hydrogenation of methylglyoxal to propylene glycol as an add-on process for the electrochemical conversion of CO2-to-high-grade polymers and chemicals
Bridge,44611111,Appropriateness,0.425213114,Hydrogenation of methylglyoxal to propylene glycol as an add-on process for the electrochemical conversion of CO2-to-high-grade polymers and chemicals
Bridge,44611111,Team Qualifications,-0.562528538,Hydrogenation of methylglyoxal to propylene glycol as an add-on process for the electrochemical conversion of CO2-to-high-grade polymers and chemicals
Bridge,44611111,Market Impact,0.72636455,Hydrogenation of methylglyoxal to propylene glycol as an add-on process for the electrochemical conversion of CO2-to-high-grade polymers and chemicals
Bridge,44611111,Impact Likelihood,0.537260619,Hydrogenation of methylglyoxal to propylene glycol as an add-on process for the electrochemical conversion of CO2-to-high-grade polymers and chemicals
Bridge,44611111,Translational Impacts,0.946267964,Hydrogenation of methylglyoxal to propylene glycol as an add-on process for the electrochemical conversion of CO2-to-high-grade polymers and chemicals
Bridge,44611111,Environmental Impacts,0.671038298,Hydrogenation of methylglyoxal to propylene glycol as an add-on process for the electrochemical conversion of CO2-to-high-grade polymers and chemicals
Bridge,44611111,Relevance to NYS,-0.227571003,Hydrogenation of methylglyoxal to propylene glycol as an add-on process for the electrochemical conversion of CO2-to-high-grade polymers and chemicals
Bridge,44608431,Responsiveness,0.998677423,Piloting Scalable Carbon Removal Systems in Real-world Environments towards a Commercialised System
Bridge,44608431,Appropriateness,1.039409834,Piloting Scalable Carbon Removal Systems in Real-world Environments towards a Commercialised System
Bridge,44608431,Team Qualifications,0.937547563,Piloting Scalable Carbon Removal Systems in Real-world Environments towards a Commercialised System
Bridge,44608431,Market Impact,0.37663347,Piloting Scalable Carbon Removal Systems in Real-world Environments towards a Commercialised System
Bridge,44608431,Impact Likelihood,0.188041217,Piloting Scalable Carbon Removal Systems in Real-world Environments towards a Commercialised System
Bridge,44608431,Translational Impacts,0.946267964,Piloting Scalable Carbon Removal Systems in Real-world Environments towards a Commercialised System
Bridge,44608431,Environmental Impacts,0.671038298,Piloting Scalable Carbon Removal Systems in Real-world Environments towards a Commercialised System
Bridge,44608431,Relevance to NYS,0.758570008,Piloting Scalable Carbon Removal Systems in Real-world Environments towards a Commercialised System
Bridge,44609127,Responsiveness,0.380448542,Point source carbon capture from municipal waste and biomass combustion
Bridge,44609127,Appropriateness,0.425213114,Point source carbon capture from municipal waste and biomass combustion
Bridge,44609127,Team Qualifications,0.187509513,Point source carbon capture from municipal waste and biomass combustion
Bridge,44609127,Market Impact,1.076095629,Point source carbon capture from municipal waste and biomass combustion
Bridge,44609127,Impact Likelihood,0.537260619,Point source carbon capture from municipal waste and biomass combustion
Bridge,44609127,Translational Impacts,0.5790595,Point source carbon capture from municipal waste and biomass combustion
Bridge,44609127,Environmental Impacts,0.335519149,Point source carbon capture from municipal waste and biomass combustion
Bridge,44609127,Relevance to NYS,0.758570008,Point source carbon capture from municipal waste and biomass combustion
Bridge,44612995,Responsiveness,0.071334102,"Positioning NYS to be the global pyrolysis leader with our novel pyrolysis technology, mitigating climate change and biowaste."
Bridge,44612995,Appropriateness,-0.496081966,"Positioning NYS to be the global pyrolysis leader with our novel pyrolysis technology, mitigating climate change and biowaste."
Bridge,44612995,Team Qualifications,0.562528538,"Positioning NYS to be the global pyrolysis leader with our novel pyrolysis technology, mitigating climate change and biowaste."
Bridge,44612995,Market Impact,0.37663347,"Positioning NYS to be the global pyrolysis leader with our novel pyrolysis technology, mitigating climate change and biowaste."
Bridge,44612995,Impact Likelihood,0.188041217,"Positioning NYS to be the global pyrolysis leader with our novel pyrolysis technology, mitigating climate change and biowaste."
Bridge,44612995,Translational Impacts,-0.52256589,"Positioning NYS to be the global pyrolysis leader with our novel pyrolysis technology, mitigating climate change and biowaste."
Bridge,44612995,Environmental Impacts,0.335519149,"Positioning NYS to be the global pyrolysis leader with our novel pyrolysis technology, mitigating climate change and biowaste."
Bridge,44612995,Relevance to NYS,-1.213712013,"Positioning NYS to be the global pyrolysis leader with our novel pyrolysis technology, mitigating climate change and biowaste."
Bridge,44608103,Responsiveness,-0.85600922,Pterodactyl - Sustaera 10 tonne per year direct air capture (DAC) of CO2 Pilot
Bridge,44608103,Appropriateness,-0.803180326,Pterodactyl - Sustaera 10 tonne per year direct air capture (DAC) of CO2 Pilot
Bridge,44608103,Team Qualifications,-0.937547563,Pterodactyl - Sustaera 10 tonne per year direct air capture (DAC) of CO2 Pilot
Bridge,44608103,Market Impact,-0.672559768,Pterodactyl - Sustaera 10 tonne per year direct air capture (DAC) of CO2 Pilot
Bridge,44608103,Impact Likelihood,-0.510397588,Pterodactyl - Sustaera 10 tonne per year direct air capture (DAC) of CO2 Pilot
Bridge,44608103,Translational Impacts,-0.52256589,Pterodactyl - Sustaera 10 tonne per year direct air capture (DAC) of CO2 Pilot
Bridge,44608103,Environmental Impacts,-0.671038298,Pterodactyl - Sustaera 10 tonne per year direct air capture (DAC) of CO2 Pilot
Bridge,44608103,Relevance to NYS,-0.884998343,Pterodactyl - Sustaera 10 tonne per year direct air capture (DAC) of CO2 Pilot
Bridge,44610968,Responsiveness,0.071334102,"Scalable limestone based DAC, using today's resources and yesterday's technology"
Bridge,44610968,Appropriateness,-0.496081966,"Scalable limestone based DAC, using today's resources and yesterday's technology"
Bridge,44610968,Team Qualifications,-0.937547563,"Scalable limestone based DAC, using today's resources and yesterday's technology"
Bridge,44610968,Market Impact,-0.322828689,"Scalable limestone based DAC, using today's resources and yesterday's technology"
Bridge,44610968,Impact Likelihood,-0.161178186,"Scalable limestone based DAC, using today's resources and yesterday's technology"
Bridge,44610968,Translational Impacts,0.211851037,"Scalable limestone based DAC, using today's resources and yesterday's technology"
Bridge,44610968,Environmental Impacts,0,"Scalable limestone based DAC, using today's resources and yesterday's technology"
Bridge,44610968,Relevance to NYS,1.087283679,"Scalable limestone based DAC, using today's resources and yesterday's technology"
Bridge,44612993,Responsiveness,-0.546894779,"To capture 10,000 tons CO2 through deployment of CREW Carbon technology in a wastewater treatment facility in New York."
Bridge,44612993,Appropriateness,-0.188983606,"To capture 10,000 tons CO2 through deployment of CREW Carbon technology in a wastewater treatment facility in New York."
Bridge,44612993,Team Qualifications,-0.187509513,"To capture 10,000 tons CO2 through deployment of CREW Carbon technology in a wastewater treatment facility in New York."
Bridge,44612993,Market Impact,-1.022290848,"To capture 10,000 tons CO2 through deployment of CREW Carbon technology in a wastewater treatment facility in New York."
Bridge,44612993,Impact Likelihood,-0.161178186,"To capture 10,000 tons CO2 through deployment of CREW Carbon technology in a wastewater treatment facility in New York."
Bridge,44612993,Translational Impacts,-0.889774354,"To capture 10,000 tons CO2 through deployment of CREW Carbon technology in a wastewater treatment facility in New York."
Bridge,44612993,Environmental Impacts,-0.671038298,"To capture 10,000 tons CO2 through deployment of CREW Carbon technology in a wastewater treatment facility in New York."
Bridge,44612993,Relevance to NYS,-0.884998343,"To capture 10,000 tons CO2 through deployment of CREW Carbon technology in a wastewater treatment facility in New York."
Bridge,44612832,Responsiveness,0.998677423,To Demonstrate the Marginal Cost of Carbon Dioxide Removal by Direct Air Capture at Industrial Scale over 500 Cycles
Bridge,44612832,Appropriateness,0.732311474,To Demonstrate the Marginal Cost of Carbon Dioxide Removal by Direct Air Capture at Industrial Scale over 500 Cycles
Bridge,44612832,Team Qualifications,0.937547563,To Demonstrate the Marginal Cost of Carbon Dioxide Removal by Direct Air Capture at Industrial Scale over 500 Cycles
Bridge,44612832,Market Impact,0.37663347,To Demonstrate the Marginal Cost of Carbon Dioxide Removal by Direct Air Capture at Industrial Scale over 500 Cycles
Bridge,44612832,Impact Likelihood,0.537260619,To Demonstrate the Marginal Cost of Carbon Dioxide Removal by Direct Air Capture at Industrial Scale over 500 Cycles
Bridge,44612832,Translational Impacts,0.5790595,To Demonstrate the Marginal Cost of Carbon Dioxide Removal by Direct Air Capture at Industrial Scale over 500 Cycles
Bridge,44612832,Environmental Impacts,0.335519149,To Demonstrate the Marginal Cost of Carbon Dioxide Removal by Direct Air Capture at Industrial Scale over 500 Cycles
Bridge,44612832,Relevance to NYS,0.758570008,To Demonstrate the Marginal Cost of Carbon Dioxide Removal by Direct Air Capture at Industrial Scale over 500 Cycles
Bridge,44612469,Responsiveness,0.071334102,To develop a 100% bio-based thermal insulation foam that incorporates biochar as a carbon sequestering additive
Bridge,44612469,Appropriateness,-0.188983606,To develop a 100% bio-based thermal insulation foam that incorporates biochar as a carbon sequestering additive
Bridge,44612469,Team Qualifications,-0.187509513,To develop a 100% bio-based thermal insulation foam that incorporates biochar as a carbon sequestering additive
Bridge,44612469,Market Impact,0.37663347,To develop a 100% bio-based thermal insulation foam that incorporates biochar as a carbon sequestering additive
Bridge,44612469,Impact Likelihood,0.188041217,To develop a 100% bio-based thermal insulation foam that incorporates biochar as a carbon sequestering additive
Bridge,44612469,Translational Impacts,-0.155357427,To develop a 100% bio-based thermal insulation foam that incorporates biochar as a carbon sequestering additive
Bridge,44612469,Environmental Impacts,-0.335519149,To develop a 100% bio-based thermal insulation foam that incorporates biochar as a carbon sequestering additive
Bridge,44612469,Relevance to NYS,-0.556284673,To develop a 100% bio-based thermal insulation foam that incorporates biochar as a carbon sequestering additive
Bridge,44523754,Responsiveness,0.071334102,"To develop cement-free, carbon-sequestering Grasscrete pavers utilizing CarbiCrete technology for implementation into the New York State market."
Bridge,44523754,Appropriateness,-0.496081966,"To develop cement-free, carbon-sequestering Grasscrete pavers utilizing CarbiCrete technology for implementation into the New York State market."
Bridge,44523754,Team Qualifications,-0.562528538,"To develop cement-free, carbon-sequestering Grasscrete pavers utilizing CarbiCrete technology for implementation into the New York State market."
Bridge,44523754,Market Impact,0.026902391,"To develop cement-free, carbon-sequestering Grasscrete pavers utilizing CarbiCrete technology for implementation into the New York State market."
Bridge,44523754,Impact Likelihood,-0.510397588,"To develop cement-free, carbon-sequestering Grasscrete pavers utilizing CarbiCrete technology for implementation into the New York State market."
Bridge,44523754,Translational Impacts,-0.52256589,"To develop cement-free, carbon-sequestering Grasscrete pavers utilizing CarbiCrete technology for implementation into the New York State market."
Bridge,44523754,Environmental Impacts,-1.006557447,"To develop cement-free, carbon-sequestering Grasscrete pavers utilizing CarbiCrete technology for implementation into the New York State market."
Bridge,44523754,Relevance to NYS,0.101142668,"To develop cement-free, carbon-sequestering Grasscrete pavers utilizing CarbiCrete technology for implementation into the New York State market."
Bridge,44574722,Responsiveness,0.689562983,To enhance CO2 curing of magnesium-based ultra-light concrete products with valorized waste
Bridge,44574722,Appropriateness,0.425213114,To enhance CO2 curing of magnesium-based ultra-light concrete products with valorized waste
Bridge,44574722,Team Qualifications,0.562528538,To enhance CO2 curing of magnesium-based ultra-light concrete products with valorized waste
Bridge,44574722,Market Impact,1.076095629,To enhance CO2 curing of magnesium-based ultra-light concrete products with valorized waste
Bridge,44574722,Impact Likelihood,0.537260619,To enhance CO2 curing of magnesium-based ultra-light concrete products with valorized waste
Bridge,44574722,Translational Impacts,0.5790595,To enhance CO2 curing of magnesium-based ultra-light concrete products with valorized waste
Bridge,44574722,Environmental Impacts,0.671038298,To enhance CO2 curing of magnesium-based ultra-light concrete products with valorized waste
Bridge,44574722,Relevance to NYS,0.101142668,To enhance CO2 curing of magnesium-based ultra-light concrete products with valorized waste
Bridge,44613087,Responsiveness,-0.546894779,To Generate Low Emissions Sorbent Material for Carbon Capture
Bridge,44613087,Appropriateness,-0.188983606,To Generate Low Emissions Sorbent Material for Carbon Capture
Bridge,44613087,Team Qualifications,-0.187509513,To Generate Low Emissions Sorbent Material for Carbon Capture
Bridge,44613087,Market Impact,-0.322828689,To Generate Low Emissions Sorbent Material for Carbon Capture
Bridge,44613087,Impact Likelihood,-0.161178186,To Generate Low Emissions Sorbent Material for Carbon Capture
Bridge,44613087,Translational Impacts,-0.52256589,To Generate Low Emissions Sorbent Material for Carbon Capture
Bridge,44613087,Environmental Impacts,0,To Generate Low Emissions Sorbent Material for Carbon Capture
Bridge,44613087,Relevance to NYS,-0.227571003,To Generate Low Emissions Sorbent Material for Carbon Capture
Bridge,44601302,Responsiveness,0.689562983,"To incorporate CO2-to-Building Materials into Kits of Ready-to-Install Interiors, further reducing Embodied Carbon in Building Retrofits"
Bridge,44601302,Appropriateness,0.732311474,"To incorporate CO2-to-Building Materials into Kits of Ready-to-Install Interiors, further reducing Embodied Carbon in Building Retrofits"
Bridge,44601302,Team Qualifications,0.187509513,"To incorporate CO2-to-Building Materials into Kits of Ready-to-Install Interiors, further reducing Embodied Carbon in Building Retrofits"
Bridge,44601302,Market Impact,0.026902391,"To incorporate CO2-to-Building Materials into Kits of Ready-to-Install Interiors, further reducing Embodied Carbon in Building Retrofits"
Bridge,44601302,Impact Likelihood,0.188041217,"To incorporate CO2-to-Building Materials into Kits of Ready-to-Install Interiors, further reducing Embodied Carbon in Building Retrofits"
Bridge,44601302,Translational Impacts,0.211851037,"To incorporate CO2-to-Building Materials into Kits of Ready-to-Install Interiors, further reducing Embodied Carbon in Building Retrofits"
Bridge,44601302,Environmental Impacts,0.671038298,"To incorporate CO2-to-Building Materials into Kits of Ready-to-Install Interiors, further reducing Embodied Carbon in Building Retrofits"
Bridge,44601302,Relevance to NYS,0.429856338,"To incorporate CO2-to-Building Materials into Kits of Ready-to-Install Interiors, further reducing Embodied Carbon in Building Retrofits"
Bridge,44609064,Responsiveness,0.380448542,"To prototype an intermittent, swarm-automated off-grid power-to-methanol facility"
Bridge,44609064,Appropriateness,0.425213114,"To prototype an intermittent, swarm-automated off-grid power-to-methanol facility"
Bridge,44609064,Team Qualifications,0.562528538,"To prototype an intermittent, swarm-automated off-grid power-to-methanol facility"
Bridge,44609064,Market Impact,0.026902391,"To prototype an intermittent, swarm-automated off-grid power-to-methanol facility"
Bridge,44609064,Impact Likelihood,0.537260619,"To prototype an intermittent, swarm-automated off-grid power-to-methanol facility"
Bridge,44609064,Translational Impacts,-0.155357427,"To prototype an intermittent, swarm-automated off-grid power-to-methanol facility"
Bridge,44609064,Environmental Impacts,0.671038298,"To prototype an intermittent, swarm-automated off-grid power-to-methanol facility"
Bridge,44609064,Relevance to NYS,-0.227571003,"To prototype an intermittent, swarm-automated off-grid power-to-methanol facility"
Bridge,44587946,Responsiveness,0.071334102,To Utilize New York Hydropower to Directly Capture Carbon Dioxide from Ambient Air with a Novel Sorbent Technology
Bridge,44587946,Appropriateness,0.118114754,To Utilize New York Hydropower to Directly Capture Carbon Dioxide from Ambient Air with a Novel Sorbent Technology
Bridge,44587946,Team Qualifications,0.562528538,To Utilize New York Hydropower to Directly Capture Carbon Dioxide from Ambient Air with a Novel Sorbent Technology
Bridge,44587946,Market Impact,-0.672559768,To Utilize New York Hydropower to Directly Capture Carbon Dioxide from Ambient Air with a Novel Sorbent Technology
Bridge,44587946,Impact Likelihood,0.537260619,To Utilize New York Hydropower to Directly Capture Carbon Dioxide from Ambient Air with a Novel Sorbent Technology
Bridge,44587946,Translational Impacts,0.211851037,To Utilize New York Hydropower to Directly Capture Carbon Dioxide from Ambient Air with a Novel Sorbent Technology
Bridge,44587946,Environmental Impacts,-0.335519149,To Utilize New York Hydropower to Directly Capture Carbon Dioxide from Ambient Air with a Novel Sorbent Technology
Bridge,44587946,Relevance to NYS,-0.884998343,To Utilize New York Hydropower to Directly Capture Carbon Dioxide from Ambient Air with a Novel Sorbent Technology
Bridge,44606939,Responsiveness,-0.546894779,Upgrading biogas emissions by modular pulsed electrochemcial CO2 reduction
Bridge,44606939,Appropriateness,-0.188983606,Upgrading biogas emissions by modular pulsed electrochemcial CO2 reduction
Bridge,44606939,Team Qualifications,-0.562528538,Upgrading biogas emissions by modular pulsed electrochemcial CO2 reduction
Bridge,44606939,Market Impact,-0.672559768,Upgrading biogas emissions by modular pulsed electrochemcial CO2 reduction
Bridge,44606939,Impact Likelihood,-0.510397588,Upgrading biogas emissions by modular pulsed electrochemcial CO2 reduction
Bridge,44606939,Translational Impacts,-0.889774354,Upgrading biogas emissions by modular pulsed electrochemcial CO2 reduction
Bridge,44606939,Environmental Impacts,0.335519149,Upgrading biogas emissions by modular pulsed electrochemcial CO2 reduction
Bridge,44606939,Relevance to NYS,-1.213712013,Upgrading biogas emissions by modular pulsed electrochemcial CO2 reduction
Leap,44612836,Responsiveness,0.119736868,Enhanced CO2 mineralization reactions in waste-derived “Goldilocks” cement microstructures
Leap,44612836,Appropriateness,0.166666667,Enhanced CO2 mineralization reactions in waste-derived “Goldilocks” cement microstructures
Leap,44612836,Team Qualifications,0,Enhanced CO2 mineralization reactions in waste-derived “Goldilocks” cement microstructures
Leap,44612836,Market Impact,0.11433239,Enhanced CO2 mineralization reactions in waste-derived “Goldilocks” cement microstructures
Leap,44612836,Impact Likelihood,0.251976315,Enhanced CO2 mineralization reactions in waste-derived “Goldilocks” cement microstructures
Leap,44612836,Translational Impacts,0,Enhanced CO2 mineralization reactions in waste-derived “Goldilocks” cement microstructures
Leap,44612836,Environmental Impacts,-0.133333333,Enhanced CO2 mineralization reactions in waste-derived “Goldilocks” cement microstructures
Leap,44612836,Relevance to NYS,-0.210818511,Enhanced CO2 mineralization reactions in waste-derived “Goldilocks” cement microstructures
Leap,44603796,Responsiveness,0.119736868,Membrane-free Electrolyzers & Systems for Conversion of Carbon Dioxide from Waste-to-Energy Plants into Sustainable Aviation Fuel
Leap,44603796,Appropriateness,-0.333333333,Membrane-free Electrolyzers & Systems for Conversion of Carbon Dioxide from Waste-to-Energy Plants into Sustainable Aviation Fuel
